"","habitat","tail.spines"
"Coniophanes_fissidens","non-saxicolous","non-spiny"
"Contia_tenuis","non-saxicolous","non-spiny"
"Corallus_hortulanus","non-saxicolous","non-spiny"
"Cordylus_aridus","saxicolous","spiny"
"Cordylus_beraduccii","saxicolous","spiny"
"Cordylus_campbelli","saxicolous","spiny"
"Cordylus_capensis","saxicolous","spiny"
"Cordylus_cataphractus","saxicolous","spiny"
"Cordylus_coeruleopunctatus","saxicolous","spiny"
"Cordylus_cordylus","saxicolous","spiny"
"Cordylus_giganteus","non-saxicolous","spiny"
"Cordylus_imkeae","saxicolous","spiny"
"Cordylus_jonesii","non-saxicolous","spiny"
"Cordylus_jordani","saxicolous","spiny"
"Cordylus_langi","saxicolous","spiny"
"Cordylus_lawrenci","saxicolous","spiny"
"Cordylus_macropholis","saxicolous","spiny"
"Cordylus_mclachlani","saxicolous","spiny"
"Cordylus_meculae","saxicolous","spiny"
"Cordylus_melanotus","saxicolous","spiny"
"Cordylus_microlepidotus","saxicolous","spiny"
"Cordylus_minor","saxicolous","spiny"
"Cordylus_namaquensis","saxicolous","spiny"
"Cordylus_nebulosus","saxicolous","spiny"
"Cordylus_niger","saxicolous","spiny"
"Cordylus_oelofseni","saxicolous","spiny"
"Cordylus_peersi","saxicolous","spiny"
"Cordylus_polyzonus","saxicolous","spiny"
"Cordylus_pustulatus","saxicolous","spiny"
"Cordylus_rhodesianus","saxicolous","spiny"
"Cordylus_spinosus","saxicolous","spiny"
"Cordylus_tropidosternum","non-saxicolous","spiny"
"Cordylus_ukingensis","saxicolous","spiny"
"Cordylus_vittifer","saxicolous","spiny"
"Cordylus_warreni","saxicolous","spiny"
"Crotalus_molossus","non-saxicolous","non-spiny"
"Crotalus_viridis","non-saxicolous","non-spiny"
"Crotaphytus_antiquus","saxicolous","non-spiny"
"Cryptoblepharus_boutonii","non-saxicolous","non-spiny"
"Ctenophorus_femoralis","non-saxicolous","non-spiny"
"Ctenophorus_maculosus","non-saxicolous","non-spiny"
"Ctenophorus_ornatus","non-saxicolous","non-spiny"
"Ctenophorus_pictus","non-saxicolous","non-spiny"
"Ctenophorus_rufescens","non-saxicolous","non-spiny"
"Ctenophorus_scutulatus","non-saxicolous","non-spiny"
"Ctenosaura_acanthura","non-saxicolous","spiny"
"Ctenosaura_bakeri","non-saxicolous","spiny"
"Ctenosaura_flavidorsalis","saxicolous","spiny"
"Ctenosaura_hemilopha","saxicolous","spiny"
"Ctenosaura_melanosterna","non-saxicolous","spiny"
"Ctenosaura_oaxacana","non-saxicolous","spiny"
"Ctenosaura_oedirhina","non-saxicolous","spiny"
"Ctenosaura_palearis","non-saxicolous","spiny"
"Ctenosaura_pectinata","non-saxicolous","spiny"
"Ctenosaura_quinquecarinata","non-saxicolous","spiny"
"Ctenosaura_similis","non-saxicolous","spiny"
"Ctenotus_angusticeps","non-saxicolous","non-spiny"
"Ctenotus_brooksi","non-saxicolous","non-spiny"
"Ctenotus_hilli","non-saxicolous","non-spiny"
"Ctenotus_quattuordecimlineatus","non-saxicolous","non-spiny"
"Ctenotus_rawlinsoni","non-saxicolous","non-spiny"
"Ctenotus_taeniolatus","non-saxicolous","non-spiny"
"Ctenotus_youngsoni","non-saxicolous","non-spiny"
"Cyclodina_ornata","non-saxicolous","non-spiny"
"Cyclodina_townsi","non-saxicolous","non-spiny"
"Cyclura_cornuta","non-saxicolous","non-spiny"
"Cyrtodactylus_ayeyarwadyensis","non-saxicolous","non-spiny"
"Cyrtopodion_spinicaudum","non-saxicolous","non-spiny"
"Dalmatolacerta_oxycephala","saxicolous","non-spiny"
"Darevskia_bendimahiensis","saxicolous","non-spiny"
"Darevskia_portschinskii","saxicolous","non-spiny"
"Darevskia_praticola","non-saxicolous","non-spiny"
"Darevskia_raddei","saxicolous","non-spiny"
"Darlingtonia_haetiana","non-saxicolous","non-spiny"
"Dasypeltis_fasciata","non-saxicolous","non-spiny"
"Dibamus_greeri","non-saxicolous","non-spiny"
"Dierogekko_inexpectatus","non-saxicolous","non-spiny"
"Dierogekko_nehoueensis","non-saxicolous","non-spiny"
"Dierogekko_poumensis","non-saxicolous","non-spiny"
"Dinodon_semicarinatum","non-saxicolous","non-spiny"
"Diplodactylus_capensis","non-saxicolous","non-spiny"
"Diplodactylus_fulleri","non-saxicolous","non-spiny"
"Diplodactylus_tessellatus","non-saxicolous","non-spiny"
"Diplodactylus_vittatus","non-saxicolous","non-spiny"
"Diploglossus_bilobatus","non-saxicolous","non-spiny"
"Diplometopon_zarudnyi","non-saxicolous","non-spiny"
"Diporiphora_arnhemica","non-saxicolous","non-spiny"
"Diporiphora_pindan","non-saxicolous","non-spiny"
"Diporiphora_superba","non-saxicolous","non-spiny"
"Ditypophis_vivax","non-saxicolous","non-spiny"
"Dixonius_vietnamensis","non-saxicolous","non-spiny"
"Dolichophis_schmidti","non-saxicolous","non-spiny"
"Draco_boschmai","non-saxicolous","non-spiny"
"Draco_cornutus","non-saxicolous","non-spiny"
"Draco_dussumieri","non-saxicolous","non-spiny"
"Draco_haematopogon","non-saxicolous","non-spiny"
"Draco_maculatus","non-saxicolous","non-spiny"
"Draco_obscurus","non-saxicolous","non-spiny"
"Draco_reticulatus","non-saxicolous","non-spiny"
"Drysdalia_coronoides","non-saxicolous","non-spiny"
"Drysdalia_mastersii","non-saxicolous","non-spiny"
"Echinanthera_undulata","non-saxicolous","non-spiny"
"Echis_coloratus","non-saxicolous","non-spiny"
"Egernia_depressa","non-saxicolous","spiny"
"Egernia_hosmeri","saxicolous","spiny"
"Egernia_luctuosa","non-saxicolous","non-spiny"
"Egernia_modesta","saxicolous","non-spiny"
"Egernia_montana","saxicolous","non-spiny"
"Egernia_saxatilis","non-saxicolous","non-spiny"
"Egernia_stokesii","saxicolous","spiny"
"Egernia_striata","non-saxicolous","non-spiny"
"Eirenis_aurolineatus","non-saxicolous","non-spiny"
"Eirenis_thospitis","non-saxicolous","non-spiny"
"Elaphe_rufodorsata","non-saxicolous","non-spiny"
"Elgaria_kingii","non-saxicolous","non-spiny"
"Emoia_isolata","non-saxicolous","non-spiny"
"Emoia_physicae","non-saxicolous","non-spiny"
"Emoia_pseudocyanura","non-saxicolous","non-spiny"
"Emydocephalus_annulatus","non-saxicolous","non-spiny"
"Eremias_montanus","non-saxicolous","non-spiny"
"Eryx_tataricus","non-saxicolous","non-spiny"
"Eublepharis_macularius","non-saxicolous","non-spiny"
