,parity_mode,max_altitude,temperature
Phymaturus_felixi,V,600,16.77
Phymaturus_indistinctus,V,800,15.76
Phymaturus_laurenti,V,4500,14.15
Phymaturus_mallimaccii,V,4200,12.38
Phymaturus_manuelae,V,950,14.8
Phymaturus_nevadoi,V,1800,15.5
Phymaturus_palluma,V,2200,12.32
Phymaturus_patagonicus,V,500,17.43
Phymaturus_payuniae,V,1500,15.9
Phymaturus_punae,V,4300,4.13
Phymaturus_querque,V,1100,15.07
Phymaturus_roigorum,V,2300,14.26
Phymaturus_sitesi,V,2100,15.8
Phymaturus_somuncurensis,V,1400,15.8
Phymaturus_sp._1,V,2150,11.57
Phymaturus_sp._10,V,2700,13.13
Phymaturus_sp._11,V,1500,15.06
Phymaturus_sp._12,V,2150,13.47
Phymaturus_sp._13,V,1200,13.75
Phymaturus_sp._14,V,500,17.83
Phymaturus_sp._15,V,1000,16.1
Phymaturus_sp._16,V,1300,15.15
Phymaturus_sp._17,V,1700,16.2
Phymaturus_sp._18,V,1100,14.23
Phymaturus_sp._19,V,1200,16.02
Phymaturus_sp._2,V,2200,13.63
Phymaturus_sp._20,V,1100,16.4
Phymaturus_sp._21,V,1200,18.42
Phymaturus_sp._22,V,1100,16.45
Phymaturus_sp._3,V,1600,15.4
Phymaturus_sp._4,V,1700,15.82
Phymaturus_sp._5,V,1800,14.97
Phymaturus_sp._6,V,2100,9.91
Phymaturus_sp._7,V,1400,13.5
Phymaturus_sp._8,V,2400,5.42
Phymaturus_sp._9,V,1900,12.79
Phymaturus_spectabilis,V,1000,14.87
Phymaturus_spurcus,V,1200,14.08
Phymaturus_tenebrosus,V,1300,14.29
Phymaturus_tromen,V,1900,13.32
Phymaturus_verdugo,V,2800,11.15
Phymaturus_videlai,V,700,15.4
Phymaturus_vociferator,V,1400,13.2
Phymaturus_williamsi,V,3000,9.17
Phymaturus_zapalensis,V,1350,14.35
