"","V1"
"Boopis",2
"Dimorphotheca_sinuata",3
"Catananche_caerulea",3
"Tridax",3
"Launaea",3
"Celmisia",3
"Olearia_solandri",3
"Calotis",3
"Bellis_perennis",3
"Haplopappus",3
"Erigeron_philadelphicus",3
"Solidago_virgaurea",3
"Achillea",3
"Helichrysum",3
"Cassinia",3
"Coreopsis",3
"Tagetes",3
"Iva",3
"Zinnia",3
"Amsinckia",3
"Cynoglossum_officinale",3
"Borago_officinalis",3
"Lithospermum",3
"Pholisma_arenarium",2
"Cordia",2
"Heliotropium",2
"Hydrophyllum_virginianum",2
"Gentiana_prostrata",2
"Strychnos",3
"Allamanda",2
"Plumeria_alba",3
"Oxystelma",3
"Periploca",2
"Cryptostegia",2
"Parsonsia_heterophylla",2
"Coussarea",2
"Urophyllum",2
"Maschalocorymbus_corymbosus",2
"Damnacanthus_macrophyllus",2
"Morinda_citrifolia",2
"Gaertnera",2
"Palicourea",3
"Serissa",3
"Leptodermis",2
"Galium_odoratum",3
"Phuopsis_stylosa",3
"Galium_palustre",3
"Pentas",2
"Adina",2
"Mitragyna",2
"Neolamarckia",2
"Guettarda",2
"Erithalis",2
"Mussaenda_erythrophylla",2
"Scyphiphora_hydrophyllacea",2
"Fadogia_cienkowskii",3
"Coffea_liberica",2
"Polysphaeria",2
"Mitriostigma_axillare",2
"Cuscuta_europaea",3
"Nicotiana_alata",2
"Atropa_belladonna",2
"Hyoscyamus_niger",2
"Nolana",2
"Lycium_chinense",2
"Datura_ferox",2
"Datura_quercifolia",2
"Solanum_pennellii",2
"Solanum_nigrum",2
"Solanum_laciniatum",2
"Olea_europaea",2
"Fraxinus_ornus",2
"Fraxinus_angustifolia",2
"Syringa_vulgaris",2
"Ligustrum",2
"Jasminum_officinale",3
"Mecardonia_procumbens",2
"Collinsia_heterophylla",2
"Tonella_tenella",2
"Callitriche_stagnalis",3
"Globularia_cordifolia",2
"Digitalis_purpurea",2
"Plantago_asiatica",2
"Veronica_spicata",2
"Rehmannia_glutinosa",2
"Melampyrum_nemorosum",2
"Lathraea_squamaria",2
"Orobanche_ramosa",2
"Avicennia",2
"Crossandra",2
"Sanchezia",2
"Martynia",2
"Phryma_leptostachya",3
"Mimulus_guttatus",2
"Mimulus_aurantiacus",2
"Mimulus_ringens",2
"Glossostigma",3
"Verbena_hastata",2
"Campsis_grandiflora",2
"Chilopsis",2
"Myoporum_laetum",2
"Monophyllaea",2
"Rhabdothamnus_solandri",2
"Gloxinia",2
"Clerodendrum_thomsoniae",2
"Trichostema",2
"Galeopsis_tetrahit",2
"Leonurus",2
"Betonica",2
"Phlomis_tuberosa",2
"Ballota_nigra",2
"Solenostemon",3
"Plectranthus",3
"Salvia_splendens",3
"Mentha_longifolia",3
"Clinopodium",3
"Conradina",3
"Blephilia_ciliata",3
"Monarda_fistulosa",3
"Hyssopus_officinalis",3
